,top words,ID,Text
58,"['introduce', 'steam', 'terraria', 'especially', 'terraria', 'fuck', 'yeah', 'terraria', 'holy', 'fucking', 'shit', 'terraria', 'motherfucking', 'terraria', 'could', 'try', 'terraria']",3211,introduce them to steam and terraria especially terraria fuck yeah terraria holy fucking shit terraria it's motherfucking terraria how could you not try terraria
59,"['calling', 'power', 'sans', 'undertale']",3216,he's calling on the power of sans from undertale 
60,"['wonder', 'cup']",3220,wonder what's in that cup 
61,['wholesome'],3223,wholesome
62,"['pc', 'try', 'modded', 'minecraft', 'gave', 'good', 'phone', 'try', 'modded', 'minecraft', 'pojav', 'launcher']",3304,if you have a pc try modded minecraft or if you gave a good phone try modded minecraft on pojav launcher
63,"['toxic', 'ass', 'communities', 'roblox', 'also', 'moderated', 'pedos', 'brain', 'dead', 'mfers', 'years']",3401,toxic ass communities roblox has also been moderated by pedos and other brain dead mfers for years 
64,"['roblox', 'isnt', 'bad', 'cool', 'gsme', 'like', 'remember', 'minecraft', 'always', 'haters']",3518,roblox isnt bad its a cool gsme just like i remember minecraft was but there are always haters
65,"['probably', 'word', 'pray', 'keyword', 'religious', 'aspect']",3631,probably the word pray is a keyword for the religious aspect 
66,"['would', 'ideally', 'want', 'laptop', 'ram', 'also', 'graphics', 'hard', 'hold', 'years', 'come', 'huge', 'battery', 'killer']",3645,you would ideally want a laptop with more ram also the graphics hard will hold up for years to come it is just a huge battery killer 
67,"['laptop', 'spec', 'fine', 'use', 'add', 'another', 'matching', 'gb', 'ram', 'good', 'fortnite', 'plug', 'power', 'gaming']",3650,laptop spec is fine for his use just add another matching gb ram it'll be good for fortnite plug in the power when gaming 
68,"['terraria', 'better']",3683,terraria is better than both
69,"['roblox', 'free', 'minecraft', 'expensive', 'plus', 'portable']",3688,roblox = free minecraft =too expensive plus not portable 
70,"['minecraft', 'like', 'definitely', 'portable', 'minecraft', 'switch', 'even', 'minecraft', 'pocket', 'edition', 'also', 'pocket', 'edition', 'completely', 'free', 'apk', 'even', 'mod', 'shit', 'know', 'messing', 'idea', 'minecraft', 'expensive', 'portable', 'entirely', 'opposite']",3695,minecraft is like at most and definitely is portable there’s minecraft on switch and even minecraft pocket edition you can also get pocket edition completely for free with apk and even mod the shit out of it if you know what you’re messing with no idea how minecraft is expensive or not portable to you when it’s entirely to opposite 
71,['lmfao'],3762,lmfao
72,"['til', 'isis', 'roblox', 'servers']",3800,til isis has roblox servers
73,"['oh', 'look', 'post', 'lets', 'bash', 'roblox', 'praise', 'minecraft']",3824,oh look its this post again lets bash on roblox and praise minecraft again 
74,['minecraft'],3828,minecraft
75,"['even', 'question', 'minecraft']",3830,this ain’t even a question minecraft 
76,"['equally', 'good', 'probably', 'bitching', 'adopt', 'outage', 'yesterday', 'afternoon']",3833,both are equally good they probably bitching because of the adopt me outage yesterday afternoon
77,"['never', 'fapsturbate', 'front', 'webcam']",3895,and that is why i never fapsturbate in front of my webcam 
78,"['words', 'true', 'prophet']",3896,words of a true prophet 
79,"['minecraft', 'tf', 'talking', 'bout']",3911,its minecraft tf you talking bout
80,"['oh', 'late']",3931,oh that is not late
81,['recommend'],3941,i recommend 
82,"['roblox', 'suggested', 'minecraft', 'vice', 'versa']",3985,what if roblox suggested minecraft and vice versa
83,"['dae', 'minecraft', 'good', 'fartnite', 'bad']",3988,dae minecraft good fartnite bad 
84,"['cuz', 'minecraft', 'fortnite']",3989,cuz minecraft > fortnite
85,"['maybe', 'forgot', 'punctuation', 'introducing', 'inquiring', 'employment', 'opportunities']",4004,maybe they forgot punctuation and were just introducing themselves and inquiring about employment opportunities
86,"['ghandi', 'dead']",4166,so was ghandi but they're both dead 
87,"['wow', 'edgy']",4192,wow edgy
88,"['simple', 'minecraft']",4193,or are you too simple for minecraft 
89,"['fallout', 'biomutant', 'bayonetta', 'devil', 'may', 'cry', 'saints', 'row', 'third', 'forza', 'either', 'horizon', 'motosport', 'trek', 'yomi', 'resident', 'evil', 'remakes', 'depends', 'curious', 'note', 'xbox', 'forza', 'titles', 'exclusive', 'microsoft']",4212,fallout biomutant bayonetta devil may cry saints row the third forza either horizon or motosport trek to yomi resident evil or the remakes depends on what you're into or curious about *note* i'm on xbox the forza titles are exclusive to microsoft 
90,"['easy', 'beginner']",4222,just easy for a beginner
91,"['sorry', 'late', 'wooded', 'creek']",4264,sorry for being late [wooded creek] 
92,"['build', 'house', 'minecraft', 'minecraft', 'like', 'playing', 'legos']",4279,build a house with him in minecraft because minecraft is like playing with legos 
93,"['late', 'mine', 'like', 'like']",4287,too late for mine they like what they like 
94,"['probably', 'nothing', 'minecraft', 'locked', 'offline', 'mode']",4292,at probably nothing or minecraft locked into offline mode 
95,"['dead', 'space']",4293,dead space
96,"['wrong', 'minecraft']",4294,what is wrong with minecraft 
97,"['minecraft', 'great', 'period']",4310,minecraft is great period 
98,['bruh'],4333,bruh
99,"['anymore', 'mate']",4372,its not anymore mate
100,"['neither', 'minecraft', 'reigns', 'supreme', 'else']",4375,neither minecraft reigns supreme over all else
101,"['going', 'sign', 'sole', 'purpose', 'installing', 'google', 'chrome', 'using', 'browser', 'within', 'browser']",4391,i’m going to sign up for this for the sole purpose of installing google chrome and using a browser within a browser 
102,['minecraft'],4437,minecraft 
103,['minecraft'],4438,minecraft 
104,"['check', 'man', 'sky', 'terraria']",4461,check out no man's sky and terraria 
105,['gtav'],4470,gtav
106,"['part', 'roblox', 'dies']",4502,this is the part where roblox dies
107,['king'],4527,king
108,"['gb', 'hdd', 'designed', 'either', 'email', 'document', 'typing', 'plain', 'netflix', 'want', 'something', 'space', 'lease', 'gb', 'ssd']",4620,no gb hdd this is designed for either email document typing or just plain netflix you’ll want something with more space at lease gb ssd
109,"['document', 'typing', 'laptop', 'gb', 'storage', 'wont', 'hold', 'anything', 'upgradable']",4624,this is a document typing laptop only gb storage wont hold anything and not upgradable
110,"['need', 'least', 'gb', 'memory', 'much', 'want', 'mods', 'gb', 'nvidia', 'amd', 'gpu', 'also', 'disk', 'space']",4636,need at least gb of memory much more if they want mods gb and an nvidia or amd gpu also more disk space 
111,"['try', 'amd', 'cpu', 'would']",4637,try to get an amd or cpu and it would 
112,"['windows', 'could', 'would', 'awful']",4638,it's windows so it could but it would just be awful
113,"['hear', 'hackers', 'thst', 'shit', 'made', 'crack']",4657,did you hear about the hackers thst shit made me crack up
114,"['minecraft', 'steve', 'roasts', 'roblox']",4683,minecraft steve roasts roblox 
115,['gotcha'],4708,gotcha
116,"['raygun', 'survive', 'kill', 'killers', 'roblox', 'wanna', 'know']",4710,how do i get raygun on survive and kill the killers on roblox i just wanna know
117,['laptop'],4783,what laptop is that 
118,"['realise', 'chromebook', 'come', 'windows', 'install', 'windows']",4785,you realise that this is a chromebook it does not come with windows nor can you install windows 
119,"['idk', 'manager', 'smth']",4811,idk i am not his manager or smth
120,"['dont', 'forget', 'preorder']",4910,dont forget to preorder
121,"['cod', 'dead', 'since', 'infinite', 'warfare']",4947,cod has been dead since infinite warfare 
122,"['fix', 'servers']",5090,if only they'd fix the servers 
123,"['true', 'think', 'infinite', 'warfare', 'somewhat', 'underrated', 'compared']",5313,true and i think infinite warfare was somewhat underrated compared to what we have now
124,['late'],5323,too late
125,"['hell', 'yeah', 'would', 'lmao']",5467,hell yeah i would lmao 
126,"['skins', 'powers']",5506,what skins have powers 
127,"['like', 'funko', 'pops', 'cooler']",5642,what like your funko pops are any cooler 
128,['gotcha'],5650,gotcha
129,"['kinda', 'miss', 'days', 'could', 'put', 'console', 'small', 'compartment', 'like', 'nes', 'worry', 'overheating', 'haha']",5915,kinda miss the days when i could put a console in a small compartment like your nes is and not have to worry about it overheating haha
130,"['crt', 'capable', 'displaying', 'anything', 'remotely', 'resembling', 'straight', 'line']",5965,a crt was it capable of displaying anything remotely resembling a straight line 
131,"['fancy', 'guy', 'syncalvia', 'player', 'piano', 'could', 'play', 'recordings', 'made', 'worlds', 'best', 'pianists', 'floppy', 'disks', 'electrostatic', 'speakers', 'powered', 'valve', 'amplifiers', 'cassette', 'player', 'nakamichi', 'dragon', 'sure', 'commercial', 'trying', 'hold', 'someone', 'worked', 'still', 'works', 'bt', 'called', 'geoffrey', 'old', 'bean', 'used', 'call', 'everyone', 'old', 'bean']",5998,he was a fancy guy he had a syncalvia player piano the could play recordings made by the worlds best pianists on floppy disks it was over £ k in he had electrostatic speakers powered by valve amplifiers and a cassette player that was over £ k nakamichi dragon i am sure it wasn't commercial i am trying to get hold of him as someone he worked with still works for bt he was called geoffrey old bean as he used to call everyone old bean 
132,"['would', 'take', 'crt', 'retrotink', 'day', 'weak', 'hell', 'take', 'composite', 'crt', 'rgb', 'retrotink']",6018,i would take a crt over retrotink any day of the weak hell i'd take a composite crt over a rgb retrotink 
133,['wait'],6050,wait what 
134,"['half', 'assed', 'minecraft']",6076,it’s half assed minecraft
135,"['roblox', 'predates', 'earliest', 'version', 'minecraft', 'five', 'years', 'fundamentally', 'different', 'purpose', 'minecraft']",6083,no not at all roblox predates the earliest version of minecraft by five years and has a fundamentally different purpose than minecraft 
136,"['late', 'abortion', 'simulator', 'irl']",6134,late abortion simulator but irl
137,"['called', 'modded', 'minecraft']",6154,it’s called modded minecraft
138,"['modded', 'terraria']",6158,modded terraria 
139,"['simple', 'antivirus', 'open', 'program', 'hit', 'scan', 'button', 'look', 'windows', 'defender', 'pc', 'assuming', 'windows', 'operating', 'system']",6179,it's very simple if you have an antivirus you just open the program and hit the scan button if you not then look for windows defender on your pc assuming you have a windows operating system 
140,"['realized', 'profitable']",6253,and now you've realized why it's so profitable 
141,"['like', 'minecraft']",6495,i too like minecraft
142,"['said', 'profitable']",6524,you said it “most profitable”
143,"['bruh', 'see', 'minecraft', 'graphics', 'profitable', 'game']",6586,bruh have you see minecraft graphics most profitable game 
144,"['minecraft', 'exists', 'hold', 'beer']",6817,minecraft *exists* hold my beer 
145,"['suckered', 'lmao', 'sincerely', 'long', 'burnt', 'fan']",6834,suckered a g a i n lmao sincerely a long burnt fan
146,"['mobile', 'cpu']",6872,it’s on a mobile cpu from 🤓
147,"['bitches', 'stop', 'bitches']",6951,when will you bitches stop being bitches 
148,['minecraft'],6961,is this minecraft
149,"['feel', 'minecraft']",6984,how do you feel about minecraft 
150,"['wow', 'profitable', 'minecraft', 'merch']",7069,wow more profitable than minecraft is that because of merch 
151,"['wait', 'textures', 'fr']",7072,wait are those textures fr 
152,"['convinced', 'never', 'touched', 'ps']",7093,i'm convinced y'all have never touched a ps 
153,"['thats', 'stays', 'profitable']",7129,thats how it stays so profitable
154,['minecraft'],7135,is this minecraft 
155,"['lol', 'profitable']",7220,lol this is why they're profitable
156,"['like', 'everybody', 'forgot', 'minecraft']",7312,and just like that everybody forgot minecraft 
157,"['thought', 'metaverse', 'legs']",7351,i thought this was the metaverse but now with legs
158,['minecraft'],7374,is that minecraft 
159,"['profitable', 'reason']",7515,it's profitable for a reason 
160,"['thought', 'metaverse', 'second', 'lmao']",7536,i thought this was the metaverse for a second lmao
161,"['lmao', 'play', 'buy']",7583,lmao just don’t play buy it
162,"['fuck', 'though', 'ad', 'smear', 'meta']",7591,fuck me i though this was an ad smear for meta
163,"['think', 'profitable']",7631,why do you think it is the most profitable 
164,['profitable'],7663,that’s why it’s the most profitable 
165,['true'],7743,true 
166,"['pokemon', 'fucking', 'destroyed']",7747,pokémon is fucking destroyed
167,['profitable'],7776,that's why it's the most profitable
168,['minecraft'],7807,minecraft
169,"['wait', 'access', 'metaverse']",7914,wait how did you get access to the metaverse 
170,"['pokemon', 'died', 'moved', 'switch', 'afford', 'one']",7924,pokemon died for me when they moved it to the switch i can’t afford one and then they did this to it 
171,"['fits', 'right', 'meta', 'verse']",7940,fits right into meta's verse
172,"['late', 'stage', 'capitalism', 'working', 'intended', 'disregard', 'us', 'mirroring', 'fall', 'rome']",8019,late stage capitalism working as intended disregard the us mirroring the fall of rome to a t 
173,"['naruhodo', 'korewa', 'nintendo', 'shitchu', 'pawa', 'da', 'see', 'power', 'nintendo', 'shitch', 'japanese']",8070,naruhodo korewa nintendo no shitchu no pawa da i see so this is the power of the nintendo shitch but in japanese 
174,['minecraft'],8090,minecraft 
175,"['surprise', 'smartwatch', 'processing', 'power', 'switch']",8117,no surprise my smartwatch has more processing power than the switch…
176,"['wow', 'finally', 'added', 'legs', 'metaverse']",8184,wow they finally added legs to the metaverse
177,"['wait', 'bunch', 'dudes', 'milling', 'around', 'walmart', 'electronics', 'department', 'crack', 'freaking', 'dawn', 'morning']",8258,wait *this* is why a bunch of dudes were milling around a walmart electronics department at the crack of freaking dawn the other morning 
178,"['hahhaah', 'yer', 'right', 'ps', 'game', 'chipped', 'chipped', 'chipped', 'everyone', 'ps']",8314,hahhaah yer right ps game chipped chipped chipped that's why everyone had a ps and 
179,"['least', 'character', 'legs', 'meta']",8391,at least your character has legs *meta*
180,"['profitable', 'reason']",8570,it's profitable for a reason
181,"['bruh', 'phase', 'one']",8595,bruh it’s phase one 😭😭
182,['metaverse'],8630,is this the metaverse 
183,['profitable'],8662,that's why it's so profitable
184,"['thought', 'metaverse', 'first', 'lmao']",8747,o thought it was the metaverse at first lmao
185,"['borderlands', 'except']",8892,and all the borderlands except 
186,"['thought', 'screenshot', 'metaverse']",9009,i thought it was a screenshot of the metaverse 💀
187,"['hahahhahaha', 'definitely', 'casual']",9230,hahahhahaha no it definitely hasn’t casual 
188,"['yeah', 'see', 'minecraft', 'getting', 'ha', 'oh', 'wait', 'minecraft', 'community', 'keeps', 'harassing', 'mojang', 'point', 'insanity', 'seriously']",9361,yeah you don’t see minecraft getting the ha oh wait the minecraft community keeps harassing mojang to the point of insanity seriously don’t do that 
189,"['minecraft', 'looks', 'way', 'artstyle']",9363,but minecraft looks that way because of its artstyle
190,['clueless'],9400,clueless
191,"['true', 'excuse']",9532,this is true but that doesn't excuse it
192,"['definitely', 'fidelity']",9549,definitely not n fidelity
193,"['forgot', 'silent', 'hill']",9617,you forgot silent hill 
194,"['better', 'metaverse']",9624,better than the metaverse 
195,"['mean', 'categorically', 'false']",9649,i mean this is just categorically false
196,"['word', 'profitable', 'would', 'gave', 'away', 'easily']",9670,the word 'profitable' would have gave it away easily 
197,"['joke', 'would', 'metaverse', 'profitable', 'lol']",9671,the only joke there would be the metaverse being profitable lol 
198,"['title', 'says', 'profitable', 'metaverse', 'hemorrhaging', 'millions']",9672,the title says most profitable metaverse is hemorrhaging millions
199,"['obviously', 'operative', 'word', 'profitable', 'giant', 'pit', 'burn', 'cash']",9673,obviously not with the operative word being ‘profitable’ and not ‘giant pit to burn your cash in’
200,"['op', 'said', 'profitable']",9676,op said profitable
201,"['nah', 'legs']",9677,nah there are legs
202,"['title', 'say', 'profitable', 'meta', 'metaverse']",9680,the title does say most profitable which meta or the metaverse is not
203,"['nah', 'least', 'legs']",9682,nah at least they have legs
204,"['thought', 'minecraft', 'something']",9695,i thought it was minecraft or something
205,"['forget', 'mario', 'rabbids']",9721,don't forget mario+rabbids
206,"['runs', 'doom', 'eternal', 'haha']",9739,it runs doom eternal haha
207,"['bomb', 'harbor']",10024,“bomb the harbor ”
208,"['mod', 'game', 'modders', 'wonders', 'dp', 'remakes']",10040,you will if you mod the game = modders are doing wonders with the dp remakes
209,"['haha', 'true']",10241,haha so true
210,"['say', 'go', 'cel', 'shaded', 'like', 'wind', 'waker', 'steer', 'art', 'style', 'toward', 'cartoon']",10325,i say go cel shaded like wind waker but steer the art style toward the cartoon 
211,"['wondering', 'next', 'would', 'titled', 'profitable']",10382,no and that's what i was wondering about next how it would be titled as profitable 
212,['fr'],10415,fr
213,"['forget', 'crisis', 'trilogy', 'alien', 'isolation', 'metro']",10441,don't forget the crisis trilogy alien isolation and metro 
214,"['bruh', 'gen', 'like', 'liked', 'lmao']",10581,bruh gen is like the most liked lmao
215,"['two', 'every', 'decade', 'hyperbolic', 'hell', 'gow', 'witcher', 'bloodborne', 'elden', 'ring', 'tlou', 'spider', 'man', 'red', 'dead', 'redemption', 'disco', 'elysium', 'breath', 'wild', 'mario', 'odyssey', 'nier', 'last', 'ten', 'years', 'go', 'years', 'portal', 'mass', 'effect', 'uncharted', 'arkham', 'asylum', 'like', 'real', 'hell', 'talking', 'lmao']",10831,two every decade that’s hyperbolic as hell gow & the witcher bloodborne elden ring tlou spider man red dead redemption disco elysium breath of the wild mario odyssey nier in the last ten years if you go years you get portal mass effect uncharted arkham asylum… like for real what the hell are you talking about lmao
216,['eternal'],10966,and eternal 
217,"['doom', 'eternal']",10981,and doom eternal 
218,"['forget', 'knack']",11005,how did you forget knack 
219,"['wii', 'overclocked', 'wii', 'touch', 'screen', 'overclocked', 'gamecube', 'motion', 'waggle', 'controls']",11006,the wii u was just an overclocked wii with a touch screen which was just an overclocked gamecube with ~~motion~~ waggle controls 
220,"['show', 'power']",11009,how show me this power
221,"['wait', 'ark', 'switch']",11016,wait what there's ark on switch 
222,['true'],11072,so true
223,"['dodge', 'lightning', 'bolts', 'friend', 'could', 'never', 'one', 'successfully']",11181,dodge those lightning bolts friend i could never get that one successfully
224,"['ok', 'good', 'enough', 'power', 'ya']",11345,ok if that’s good enough for you then all power to ya 
225,"['wait', 'ported', 'eternal']",11402,wait they ported eternal too 
226,"['botw', 'mk', 'deluxe']",11403,and botw and mk deluxe
227,"['true', 'wii', 'roughly', 'core', 'cpu', 'ram', 'faster', 'gpu', 'edit', 'developing', 'architecture', 'yes', 'raw', 'power', 'system', 'stronger', 'wii', 'quite', 'bit', 'sure', 'guy', 'going', 'much']",11437,not true at all the wii u was roughly a it had a core cpu in it and more ram faster gpu edit the developing architecture is the same yes but the raw power of the system is stronger than the wii by quite a bit not sure why this guy is going so much about this 
228,"['would', 'megaevolution', 'gigantamax', 'terastalize']",11458,but then how would we have megaevolution gigantamax terastalize 
229,"['anthem', 'avengers', 'good', 'minecraft', 'ffxiv', 'bad', 'gotcha']",11496,so anthem and avengers good minecraft ffxiv bad gotcha
230,"['remember', 'wanting', 'cod', 'rc', 'plane', 'plane', 'forget', 'installment']",11547,i remember wanting the cod rc plane just for the plane i forget which installment it was
231,"['holy', 'shit', 'touch', 'take']",11617,holy shit what an out of touch l take 
232,"['forget', 'charizard']",11657,don’t forget charizard
233,"['multiplayer', 'yet']",11754,no multiplayer yet
234,"['feel', 'like', 'calling', 'john', 'carmack', 'legit', 'programmer', 'selling', 'bit', 'short', 'haha']",11759,i feel like calling john carmack ‘a legit programmer’ is selling him just a bit short haha
235,"['hexen', 'goat', 'greetings', 'mortal', 'ready', 'die']",11760,hexen is the goat g̵̠̏r̶̮̿ē̷͚ę̶͌t̸̥́ȉ̸͖n̷̗̎g̷̹̈s̴̞̍ ̴̼̿m̵͔̅ȯ̸͚r̸̲̽t̴̮̾ǎ̶͜l̸̥̎ ̸̹́ ̸̭̂ḁ̵̒r̸̦͝e̶̅ͅ ̵͕̃y̷̥̋o̵̡̒u̴͍̒ ̴͉̐r̸̬͗e̵̤̋a̶̡̒d̶̎͜y̵̮͂ ̷̹͐ṯ̸̂o̵͈̐ ̵̳̑d̶͈̆i̴̫͒ẻ̴̼ ̸̻͑
236,"['keep', 'forgetting', 'switch', 'harddrive', 'gb', 'sd', 'card', 'technology', 'weird']",11782,i keep forgetting my switch's harddrive is a gb sd card technology is weird 
237,"['need', 'stop', 'hyperbolic', 'lmao']",11910,no they don't y'all need to stop being so hyperbolic lmao
238,['dunno'],11946,dunno then 
239,"['aka', 'wiiu', 'botw', 'bestest', 'uncle']",12001,aka the wiiu and botw from your bestest uncle ; 
240,"['remember', 'getting', 'ice', 'cube', 'tray', 'made', 'bullet', 'shaped', 'ice', 'cubes', 'johnny', 'gat', 'style', 'glasses', 'sr', 'cufflinks', 'saints', 'row', 'third', 'favourite', 'nba', 'though', 'kobe', 'themed', 'got', 'cap', 'poster', 'trading', 'cards', 'still']",12045,i remember getting an ice cube tray that made bullet shaped ice cubes johnny gat style glasses and sr cufflinks for saints row the third my favourite is nba k though it was kobe themed so i got a cap with on it a poster and trading cards i still have them all too
241,"['gb', 'ram', 'mb', 'integrated', 'graphics', 'laptop', 'ran', 'crysis', 'though', 'smooth', 'fps']",12121,my gb ram mb integrated graphics laptop ran crysis though at a smooth fps 
242,"['likely', 'honest', 'haha']",12122,likely to be honest haha
243,"['nah', 'john', 'romero', 'secretly', 'icon', 'sin', 'noclipped']",12138,nah that was john romero he was secretly the icon of sin if you noclipped into it
244,"['gamecube', 'wii', 'wiiu', 'shared', 'architecture', 'way', 'bit', 'cpu', 'shares', 'architecture', 'processor', 'really', 'call', 'ryzen', 'overclocked', 'athlon']",12144,because he is the gamecube wii wiiu shared the architecture in the same way a bit x cpu from shares the architecture with a processor but you don't really call a ryzen just an overclocked athlon do you 
245,"['bruh', 'fr']",12210,bruh what fr
